system:index,bottom,id,left,mean_doubl,right,top,.geo
00000000000000000022,-19.72408099600007,39571,-42.546778993,2.3138,-42.545882993000006,-19.723184996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.54678022839184,-19.72407991395591],[-42.545883931625006,-19.72407995405171],[-42.545883931625006,-19.723183635290283],[-42.54678022839184,-19.723183677091804],[-42.54678022839184,-19.72407991395591]]]}"
00000000000000000041,-19.562800996000067,39391,-42.546778993,4.8349,-42.545882993000006,-19.561904996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.54678022839184,-19.562803195311044],[-42.545883931625,-19.562803135051904],[-42.545883931625006,-19.56190686591602],[-42.54678022839184,-19.5619068624371],[-42.54678022839184,-19.562803195311044]]]}"
0000000000000000001d,-19.68196899600007,54448,-42.510042993,4.5315,-42.509146993,-19.68107299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.510041734437095,-19.681968150658843],[-42.50914540521076,-19.68196820559664],[-42.50914540521076,-19.68107187830202],[-42.510041734437095,-19.68107190527333],[-42.510041734437095,-19.681968150658843]]]}"
00000000000000000003,-19.74200099600007,41047,-42.543194993,4.2568,-42.542298993,-19.741104996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.5431950984819,-19.742001064772108],[-42.54229881488439,-19.742001092860498],[-42.54229881488438,-19.741104750057303],[-42.5431950984819,-19.741104803871597],[-42.5431950984819,-19.742001064772108]]]}"
0000000000000000005c,-19.793072996000067,27636,-42.576346993,10.4245,-42.57545099300001,-19.792176996000062,"{""type"":""Polygon"",""coordinates"":[[[-42.57634855044311,-19.793071159481826],[-42.5754522390308,-19.793071166412965],[-42.57545223903081,-19.79217484124039],[-42.57634855044311,-19.79217484336255],[-42.57634855044311,-19.793071159481826]]]}"
00000000000000000010,-19.669424996000068,42422,-42.539610993,6.5814,-42.538714993000006,-19.668528996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.539610021280225,-19.669424742619537],[-42.538713750870976,-19.66942471919409],[-42.538713750870976,-19.66852844208438],[-42.539610021280225,-19.668528474561917],[-42.539610021280225,-19.669424742619537]]]}"
00000000000000000031,-19.71780899600007,57400,-42.502874993,4.3818,-42.501978993,-19.71691299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.50287591136246,-19.717810447898593],[-42.50197968379526,-19.71781038392599],[-42.50197968379526,-19.716914153515454],[-42.50287591136246,-19.71691415364308],[-42.50287591136246,-19.717810447898593]]]}"
00000000000000000064,-19.78769699600007,57478,-42.502874993,10.4378,-42.501978993,-19.786800996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.50287591136246,-19.787697917382527],[-42.50197968379526,-19.78769790180083],[-42.50197968379526,-19.786801654915998],[-42.50287591136246,-19.786801679528285],[-42.50287591136246,-19.787697917382527]]]}"
0000000000000000000d,-19.639856996000066,28921,-42.572762993,9.4656,-42.571866993,-19.63896099600007,"{""type"":""Polygon"",""coordinates"":[[[-42.57276343649304,-19.639856419074327],[-42.57186713810792,-19.6398564323235],[-42.57186713810792,-19.638960155638742],[-42.57276343649304,-19.638960151454288],[-42.57276343649304,-19.639856419074327]]]}"
0000000000000000004a,-19.661360996000074,43869,-42.536026993,10.0562,-42.535130993,-19.66046499600007,"{""type"":""Polygon"",""coordinates"":[[[-42.53602492203172,-19.66136262361039],[-42.53513307992627,-19.66136264501262],[-42.535133079926275,-19.66046635953484],[-42.53602492203172,-19.660466347139863],[-42.53602492203172,-19.66136262361039]]]}"
00000000000000000000,-19.739312996000066,58880,-42.499290993,2.2771,-42.498394993000005,-19.73841699600007,"{""type"":""Polygon"",""coordinates"":[[[-42.49929083396077,-19.739312229227885],[-42.49839454489347,-19.739312210847725],[-42.49839454489347,-19.738415944364277],[-42.49929083396078,-19.73841589888884],[-42.49929083396077,-19.739312229227885]]]}"
